match_id,game_id,game_number,state,start_time,league,blue_team,red_team,blue_name,red_name
115548128962971959,115548128962971960,1,completed,2026-05-28T08:00:00Z,LCK,DNS,NS,DN SOOPers,NONGSHIM RED FORCE
115548128962971959,115548128962971961,2,completed,2026-05-28T08:00:00Z,LCK,DNS,NS,DN SOOPers,NONGSHIM RED FORCE
115548128962971959,115548128962971962,3,completed,2026-05-28T08:00:00Z,LCK,DNS,NS,DN SOOPers,NONGSHIM RED FORCE
115548128962971903,115548128962971904,1,completed,2026-05-28T10:00:00Z,LCK,T1,KT,T1,kt Rolster
115548128962971903,115548128962971905,2,completed,2026-05-28T10:00:00Z,LCK,T1,KT,T1,kt Rolster
115548128962971903,115548128962971906,3,unneeded,2026-05-28T10:00:00Z,LCK,T1,KT,T1,kt Rolster
115616219464541907,115616219464541908,1,completed,2026-05-29T06:00:00Z,LPL,JDG,TT,Beijing JDG Esports,THUNDER TALK GAMING
115616219464541907,115616219464541909,2,completed,2026-05-29T06:00:00Z,LPL,JDG,TT,Beijing JDG Esports,THUNDER TALK GAMING
115616219464541907,115616219464541910,3,completed,2026-05-29T06:00:00Z,LPL,JDG,TT,Beijing JDG Esports,THUNDER TALK GAMING
115616219464541907,115616219464541911,4,completed,2026-05-29T06:00:00Z,LPL,JDG,TT,Beijing JDG Esports,THUNDER TALK GAMING
115616219464541907,115616219464541912,5,unneeded,2026-05-29T06:00:00Z,LPL,JDG,TT,Beijing JDG Esports,THUNDER TALK GAMING
115548128963037547,115548128963037548,1,completed,2026-05-29T08:00:00Z,LCK,DK,KRX,Dplus KIA,KIWOOM DRX
115548128963037547,115548128963037549,2,completed,2026-05-29T08:00:00Z,LCK,DK,KRX,Dplus KIA,KIWOOM DRX
115548128963037547,115548128963037550,3,completed,2026-05-29T08:00:00Z,LCK,DK,KRX,Dplus KIA,KIWOOM DRX
115570683341512199,115570683341512200,1,completed,2026-05-29T09:00:00Z,LCP,MVK,TSW,MVK Esports,Team Secret Whales
115570683341512199,115570683341512201,2,completed,2026-05-29T09:00:00Z,LCP,MVK,TSW,MVK Esports,Team Secret Whales
115570683341512199,115570683341512202,3,completed,2026-05-29T09:00:00Z,LCP,MVK,TSW,MVK Esports,Team Secret Whales
115570683341512199,115570683341512203,4,unneeded,2026-05-29T09:00:00Z,LCP,MVK,TSW,MVK Esports,Team Secret Whales
115570683341512199,115570683341512204,5,unneeded,2026-05-29T09:00:00Z,LCP,MVK,TSW,MVK Esports,Team Secret Whales
