game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,blue_pc_avg,red_pc_avg,first_to_five,blue_time,red_time
10005-10005_game_1,LPL,2023,ThunderTalk Gaming,Royal Never Give Up,"Varus,Wukong,Annie,Leona,Kennen","Aphelios,Vi,Ryze,Nautilus,Sion","huanfeng,Beichuan,Ucal,yaoyao,HOYA","GALA,Wei,Angel,Ming,Breathe",0.5462,0.4944,blue,20.0,20.0
10005-10005_game_2,LPL,2023,ThunderTalk Gaming,Royal Never Give Up,"Aphelios,Sejuani,Yone,Nautilus,Gragas","Jinx,Wukong,LeBlanc,Leona,Kennen","huanfeng,Beichuan,Ucal,yaoyao,HOYA","GALA,Wei,Angel,Ming,Breathe",0.5088,0.6393,red,20.0,20.0
10005-10005_game_3,LPL,2023,Royal Never Give Up,ThunderTalk Gaming,"Xayah,Wukong,Vex,Nautilus,Kennen","Zeri,Xin Zhao,LeBlanc,Rakan,K'Sante","GALA,Wei,Angel,Ming,Breathe","huanfeng,Beichuan,Ucal,yaoyao,HOYA",0.699,0.3727,blue,20.0,20.0
10005-10005_game_4,LPL,2023,ThunderTalk Gaming,Royal Never Give Up,"Aphelios,Wukong,Taliyah,Nautilus,Kennen","Zeri,Vi,Ahri,Leona,Gragas","huanfeng,Beichuan,Ucal,yaoyao,HOYA","GALA,Wei,Angel,Ming,Breathe",0.4898,0.5719,red,20.0,20.0
10006-10006_game_1,LPL,2023,Top Esports,Team WE,"Lucian,Vi,LeBlanc,Nami,Olaf","Aphelios,Maokai,Ryze,Nautilus,K'Sante","JackeyLove,Tian,Rookie,Mark,Wayward","Hope,Heng,Shanks,Iwandy,Biubiu",0.71,0.498,red,20.0,20.0
10006-10006_game_2,LPL,2023,Top Esports,Team WE,"Lucian,Vi,Ahri,Nami,K'Sante","Aphelios,Maokai,Cassiopeia,Nautilus,Renekton","JackeyLove,Tian,Rookie,Mark,Wayward","Hope,Heng,Shanks,Iwandy,Biubiu",0.6675,0.4828,blue,20.0,20.0
10006-10006_game_3,LPL,2023,Top Esports,Team WE,"Varus,Lee Sin,Annie,Nautilus,K'Sante","Lucian,Maokai,Tristana,Nami,Sion","JackeyLove,Tian,Rookie,Mark,Wayward","Hope,Heng,Shanks,Iwandy,Biubiu",0.6304,0.5658,red,20.0,20.0
10006-10006_game_4,LPL,2023,Team WE,Top Esports,"Aphelios,Maokai,Ryze,Rakan,Sion","Xayah,Vi,Ahri,Nautilus,Gwen","Hope,Heng,Shanks,Iwandy,Biubiu","JackeyLove,Tian,Rookie,Mark,Wayward",0.5827,0.5686,red,20.0,20.0
10007-10007_game_1,LPL,2023,Royal Never Give Up,Bilibili Gaming,"Zeri,Vi,Annie,Nautilus,K'Sante","Xayah,Wukong,LeBlanc,Rakan,Gwen","GALA,Wei,Angel,Ming,Breathe","Elk,Xun,Yagao,ON,Bin",0.5124,0.6724,blue,20.0,20.0
10007-10007_game_2,LPL,2023,Bilibili Gaming,Royal Never Give Up,"Zeri,Viego,Veigar,Rakan,Kennen","Aphelios,Lee Sin,Annie,Thresh,Gragas","Elk,Xun,Yagao,ON,Bin","GALA,Wei,Angel,Ming,Breathe",0.7251,0.3805,red,20.0,20.0
10007-10007_game_3,LPL,2023,Royal Never Give Up,Bilibili Gaming,"Zeri,Viego,Galio,Rakan,Malphite","Aphelios,Lee Sin,Sylas,Annie,Jax","GALA,Wei,Angel,Ming,Breathe","Elk,Xun,Yagao,ON,Bin",0.3442,0.7326,red,20.0,20.0
10007-10007_game_4,LPL,2023,Bilibili Gaming,Royal Never Give Up,"Aphelios,Lee Sin,Veigar,Leona,Kennen","Zeri,Viego,Annie,Rakan,Jarvan IV","Elk,Xun,Yagao,ON,Bin","GALA,Wei,Angel,Ming,Breathe",0.6781,0.3299,red,20.0,20.0
10008-10008_game_1,LPL,2023,Oh My God,Top Esports,"Zeri,Wukong,Ahri,Lulu,Sion","Lucian,Maokai,Akali,Nami,K'Sante","Able,Aki,Creme,ppgod,shanji","JackeyLove,Tian,Rookie,Mark,Wayward",0.4926,0.6845,red,20.0,20.0
10008-10008_game_2,LPL,2023,Oh My God,Top Esports,"Xayah,Wukong,Tristana,Rakan,Rumble","Aphelios,Sejuani,LeBlanc,Renata Glasc,Jax","Able,Aki,Creme,ppgod,shanji","JackeyLove,Tian,Rookie,Mark,Wayward",0.6139,0.4716,blue,20.0,20.0
10008-10008_game_3,LPL,2023,Top Esports,Oh My God,"Zeri,Wukong,Ahri,Lulu,Gragas","Xayah,Elise,Tristana,Rakan,Sion","JackeyLove,Tian,Rookie,Mark,Wayward","Able,Aki,Creme,ppgod,shanji",0.5629,0.443,red,20.0,20.0
10008-10008_game_4,LPL,2023,Oh My God,Top Esports,"Aphelios,Wukong,Akali,Thresh,K'Sante","Zeri,Maokai,Tristana,Lulu,Gwen","Able,Aki,Creme,ppgod,shanji","JackeyLove,Tian,Rookie,Mark,Wayward",0.6007,0.5582,red,20.0,20.0
10008-10008_game_5,LPL,2023,Top Esports,Oh My God,"Xayah,Wukong,Lissandra,Rakan,Gnar","Aphelios,Lee Sin,Ahri,Thresh,Kennen","JackeyLove,Tian,Rookie,Mark,Wayward","Able,Aki,Creme,ppgod,shanji",0.441,0.6292,blue,20.0,20.0
10009-10009_game_1,LPL,2023,Weibo Gaming,Bilibili Gaming,"Jinx,Lee Sin,LeBlanc,Thresh,K'Sante","Zeri,Wukong,Annie,Blitzcrank,Gwen","Light,Karsa,Xiaohu,Crisp,TheShy","Elk,Xun,Yagao,ON,Bin",0.4672,0.6468,blue,20.0,20.0
10009-10009_game_2,LPL,2023,Weibo Gaming,Bilibili Gaming,"Jinx,Maokai,Jayce,Thresh,Kennen","Zeri,Lee Sin,Sylas,Leona,Gnar","Light,Karsa,Xiaohu,Crisp,TheShy","Elk,Xun,Yagao,ON,Bin",0.1731,0.6415,red,20.0,20.0
10009-10009_game_3,LPL,2023,Bilibili Gaming,Weibo Gaming,"Aphelios,Vi,Veigar,Thresh,Kennen","Varus,Viego,Annie,Nautilus,K'Sante","Elk,Xun,Yagao,ON,Bin","Light,Karsa,Xiaohu,Crisp,TheShy",0.633,0.3994,red,20.0,20.0
10010-10010_game_1,LPL,2023,LNG Esports,Oh My God,"Zeri,Sejuani,Taliyah,Nautilus,Jax","Xayah,Wukong,Sylas,Rakan,Sion","LP,Tarzan,Scout,Hang,Zika","Able,Aki,Creme,ppgod,shanji",0.5946,0.5261,blue,20.0,20.0
10010-10010_game_2,LPL,2023,LNG Esports,Oh My God,"Zeri,Wukong,LeBlanc,Annie,Malphite","Xayah,Maokai,Yone,Rakan,K'Sante","LP,Tarzan,Scout,Hang,Zika","Able,Aki,Creme,ppgod,shanji",0.5373,0.5747,red,20.0,20.0
10010-10010_game_3,LPL,2023,LNG Esports,Oh My God,"Zeri,Wukong,Ahri,Lulu,Malphite","Xayah,Sejuani,Yone,Rakan,K'Sante","LP,Tarzan,Scout,Hang,Zika","Able,Aki,Creme,ppgod,shanji",0.4621,0.5607,red,20.0,20.0
