game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_kills15,red_kills15,blue_kills20,red_kills20,blue_kills25,red_kills25,blue_golddiff10,red_golddiff10,blue_fb,blue_ckpm,red_ckpm
ESPORTSTMNT01_3300956,LCKC,2023,Dplus Kia Challengers,KT Rolster Challengers,"Jayce,Wukong,Ryze,Ezreal,Karma","Irelia,Sejuani,Syndra,Varus,Heimerdinger","Thanatos,Lucid,Pullbae,Rahel,Loopy","Castle,HamBak,Feisty,Hype,Kice",blue,15.0,30.0,0,4.0,3.0,5.0,3.0,6.0,3.0,7.0,4.0,258.0,-258.0,0.0,0.6116,0.6116
ESPORTSTMNT01_3301911,LCKC,2023,KT Rolster Challengers,Dplus Kia Challengers,"Jax,Poppy,Ryze,Zeri,Lulu","K'Sante,Lee Sin,Swain,Lucian,Nami","Castle,HamBak,Feisty,Hype,Kice","Thanatos,Lucid,Pullbae,Rahel,Loopy",red,25.0,25.0,1,0.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,-1264.0,1264.0,0.0,0.705,0.705
ESPORTSTMNT01_3301928,LCKC,2023,Dplus Kia Challengers,KT Rolster Challengers,"Jayce,Wukong,Ryze,Ezreal,Karma","Ornn,Viego,Azir,Varus,Heimerdinger","Thanatos,Lucid,Pullbae,Rahel,Loopy","Castle,HamBak,Feisty,Hype,Kice",red,30.0,30.0,0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,4.0,-463.0,463.0,0.0,0.4472,0.4472
ESPORTSTMNT01_3301957,LCKC,2023,T1 Esports Academy,Hanwha Life Esports Challengers,"Jax,Graves,Galio,Draven,Heimerdinger","K'Sante,Wukong,Ryze,Jhin,Senna","Dal,Forest,Bay,Smash,Baut","Rooster,Guwon,Roamer,Lure,Duro",red,30.0,25.0,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,12.0,-12.0,0.0,0.5625,0.5625
ESPORTSTMNT01_3302863,LCKC,2023,Hanwha Life Esports Challengers,T1 Esports Academy,"Gnar,Maokai,Ryze,Jhin,Senna","K'Sante,Vi,Ahri,Sivir,Heimerdinger","Rooster,Guwon,Roamer,Lure,Duro","Dal,Forest,Bay,Smash,Baut",blue,25.0,30.0,0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,4.0,805.0,-805.0,0.0,0.6376,0.6376
ESPORTSTMNT01_3302900,LCKC,2023,DN SOOPers Challengers,Nongshim Esports Academy,"Jax,Elise,Sylas,Varus,Nautilus","Renekton,Sejuani,Akali,Xayah,Braum","Lancer,Courage,Cleaver,Bull,Andil","Mihile,Sounda,Calix,Jiwoo,Luon",red,30.0,20.0,0,0.0,2.0,1.0,4.0,2.0,11.0,2.0,19.0,-1873.0,1873.0,0.0,0.856,0.856
ESPORTSTMNT01_3303014,LCKC,2023,Nongshim Esports Academy,DN SOOPers Challengers,"K'Sante,Wukong,Sylas,Nilah,Nautilus","Gnar,Sejuani,Yone,Lucian,Nami","Mihile,Sounda,Calix,Jiwoo,Luon","Lancer,Courage,Cleaver,Bull,Andil",red,30.0,15.0,0,1.0,2.0,1.0,6.0,5.0,7.0,12.0,7.0,-1121.0,1121.0,1.0,0.8009,0.8009
ESPORTSTMNT01_3303498,LCKC,2023,HANJIN BRION Challengers,DRX Challengers,"Sion,Wukong,Azir,Jhin,Ashe","Camille,Sejuani,Sylas,Varus,Pyke","Frim,Raptor,Ivory,Gamin,Pollu","Clear,Sponge,SeTab,Pleata,Piero",blue,30.0,30.0,0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,3.0,113.0,-113.0,1.0,0.5008,0.5008
ESPORTSTMNT01_3303516,LCKC,2023,Liiv SANDBOX Youth,Gen.G Global Academy,"K'Sante,Maokai,Taliyah,Xayah,Ashe","Renekton,Sylas,Sejuani,Samira,Amumu","DDahyuk,Vincenzo,Guti,Diable,PlanB","Zest,Winner,Quid,Pdx,Lospa",red,15.0,15.0,1,3.0,3.0,7.0,5.0,7.0,5.0,13.0,12.0,-521.0,521.0,0.0,0.9298,0.9298
ESPORTSTMNT01_3303528,LCKC,2023,Gen.G Global Academy,Liiv SANDBOX Youth,"K'Sante,Sejuani,Azir,Jhin,Leona","Fiora,Maokai,Sylas,Varus,Heimerdinger","Zest,Winner,Quid,Pdx,Lospa","DDahyuk,Vincenzo,Guti,Diable,PlanB",red,30.0,20.0,0,1.0,2.0,1.0,3.0,1.0,6.0,3.0,11.0,-4.0,4.0,1.0,0.7423,0.7423
ESPORTSTMNT01_3304452,LCKC,2023,Gen.G Global Academy,Liiv SANDBOX Youth,"Renekton,Maokai,Jayce,Varus,Soraka","K'Sante,Wukong,Azir,Zeri,Heimerdinger","Zest,Winner,Quid,Pdx,Lospa","DDahyuk,Vincenzo,Guti,Diable,PlanB",blue,20.0,30.0,0,1.0,0.0,4.0,2.0,6.0,3.0,10.0,5.0,612.0,-612.0,1.0,0.7982,0.7982
ESPORTSTMNT01_3305355,LCKC,2023,DRX Challengers,HANJIN BRION Challengers,"Renekton,Maokai,Azir,Zeri,Lulu","Sion,Nidalee,Yone,Jhin,Heimerdinger","Clear,Sponge,SeTab,Pleata,Piero","Frim,Raptor,Ivory,Gamin,Pollu",red,30.0,30.0,0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,10.0,-10.0,0.0,0.5061,0.5061
ESPORTSTMNT01_3306427,LCKC,2023,Liiv SANDBOX Youth,Hanwha Life Esports Challengers,"K'Sante,Maokai,Tristana,Varus,Heimerdinger","Jayce,Sejuani,Syndra,Jhin,Senna","DDahyuk,Vincenzo,Guti,Diable,PlanB","Rooster,Guwon,Roamer,Lure,Duro",blue,20.0,20.0,1,3.0,3.0,3.0,4.0,5.0,9.0,6.0,11.0,381.0,-381.0,1.0,0.8864,0.8864
ESPORTSTMNT01_3306451,LCKC,2023,DRX Challengers,T1 Esports Academy,"Gwen,Maokai,Yone,Lucian,Nami","K'Sante,Sejuani,Ryze,Aphelios,Nautilus","Clear,Sponge,SeTab,Pleata,Piero","Dal,Forest,Bay,Smash,Baut",red,30.0,15.0,0,0.0,2.0,1.0,7.0,3.0,12.0,8.0,14.0,-1828.0,1828.0,0.0,1.0105,1.0105
ESPORTSTMNT01_3306454,LCKC,2023,KT Rolster Challengers,Nongshim Esports Academy,"Gragas,Viego,Syndra,Varus,Heimerdinger","Jax,Wukong,Viktor,Vayne,Jhin","Castle,HamBak,Feisty,Hype,Kice","Mihile,Sounda,Calix,Jiwoo,Luon",blue,30.0,30.0,0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,4017.0,-4017.0,1.0,0.2996,0.2996
ESPORTSTMNT01_3307381,LCKC,2023,T1 Esports Academy,DRX Challengers,"Renekton,Sejuani,Taliyah,Aphelios,Nautilus","Ornn,Wukong,Ryze,Zeri,Lulu","Dal,Forest,Bay,Smash,Baut","Clear,Sponge,SeTab,Pleata,Piero",blue,15.0,30.0,0,1.0,1.0,5.0,2.0,8.0,2.0,10.0,2.0,415.0,-415.0,0.0,0.6203,0.6203
ESPORTSTMNT01_3307389,LCKC,2023,Hanwha Life Esports Challengers,Liiv SANDBOX Youth,"Gnar,Elise,Sion,Ziggs,Pyke","Ornn,Nidalee,Tristana,Caitlyn,Lux","Rooster,Guwon,Roamer,Lure,Duro","DDahyuk,Vincenzo,Guti,Diable,PlanB",blue,15.0,30.0,0,4.0,1.0,5.0,1.0,6.0,1.0,0.0,0.0,4476.0,-4476.0,1.0,0.5761,0.5761
ESPORTSTMNT01_3307398,LCKC,2023,Hanwha Life Esports Challengers,Liiv SANDBOX Youth,"Gnar,Maokai,Ryze,Jhin,Leona","K'Sante,Nidalee,Tristana,Varus,Karma","Rooster,Guwon,Roamer,Lure,Duro","DDahyuk,Vincenzo,Guti,Diable,PlanB",blue,15.0,15.0,1,3.0,3.0,6.0,6.0,7.0,6.0,9.0,7.0,-611.0,611.0,1.0,0.7772,0.7772
ESPORTSTMNT01_3307965,LCKC,2023,Dplus Kia Challengers,DN SOOPers Challengers,"K'Sante,Wukong,Lissandra,Lucian,Nami","Jayce,Maokai,Yone,Draven,Amumu","Thanatos,Lucid,Pullbae,Rahel,Loopy","Lancer,Courage,Cleaver,Bull,Andil",red,30.0,15.0,0,0.0,3.0,2.0,5.0,7.0,6.0,11.0,7.0,-1529.0,1529.0,0.0,0.8727,0.8727
ESPORTSTMNT01_3307967,LCKC,2023,Gen.G Global Academy,HANJIN BRION Challengers,"Renekton,Elise,Tristana,Caitlyn,Lux","Sion,Nidalee,Sett,Varus,Heimerdinger","Casting,Winner,Quid,Pdx,Lospa","Frim,Raptor,Ivory,Gamin,Pollu",red,30.0,15.0,0,4.0,4.0,4.0,5.0,4.0,5.0,6.0,6.0,363.0,-363.0,1.0,0.6327,0.6327
ESPORTSTMNT01_3308319,LCKC,2023,KT Rolster Challengers,Nongshim Esports Academy,"Gnar,Elise,Syndra,Xayah,Alistar","Renekton,Wukong,Ryze,Nilah,Rell","Castle,HamBak,Feisty,Hype,Kice","Mihile,Sounda,Callme,Jiwoo,Luon",blue,25.0,30.0,0,3.0,0.0,3.0,2.0,3.0,3.0,8.0,3.0,1293.0,-1293.0,1.0,0.6195,0.6195
