game_id,tournament,year,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,blue_kills10,red_kills10,blue_golddiff10,red_golddiff10,blue_fb,red_fb,blue_ckpm,red_ckpm
9691-9691_game_1,LPL,2023,FunPlus Phoenix,Team WE,"K'Sante,Vi,Akali,Caitlyn,Lux","Renekton,Maokai,Azir,Kalista,Nautilus","Xiaolaohu,Haoye,Care,Lwx,Lele","Biubiu,Heng,Shanks,Hope,Iwandy",red,30.0,30.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.719,0.719
9691-9691_game_2,LPL,2023,Team WE,FunPlus Phoenix,"Kennen,Poppy,Sylas,Sivir,Yuumi","Jax,Wukong,Kassadin,Zeri,Lulu","Biubiu,Heng,Shanks,Hope,Iwandy","Xiaolaohu,Haoye,Care,Lwx,Lele",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.7083,0.7083
9691-9691_game_3,LPL,2023,FunPlus Phoenix,Team WE,"Gwen,Wukong,Akali,Kalista,Heimerdinger","K'Sante,Vi,Syndra,Aphelios,Soraka","Xiaolaohu,Haoye,Care,Lwx,Lele","Biubiu,Heng,Shanks,Hope,Iwandy",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.6909,0.6909
9692-9692_game_1,LPL,2023,Anyone's Legend,Invictus Gaming,"Fiora,Graves,Syndra,Jhin,Heimerdinger","Camille,Viego,Ryze,Varus,Lux","Zdz,Xiaohao,Harder,Betty,SwordArt","YSKM,GIDEON,neny,Ahn,Wink",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.8689,0.8689
9692-9692_game_2,LPL,2023,Anyone's Legend,Invictus Gaming,"Camille,Graves,Galio,Varus,Renata Glasc","Fiora,Viego,Ryze,Draven,Blitzcrank","Zdz,Xiaohao,Harder,Betty,SwordArt","YSKM,GIDEON,neny,Ahn,Wink",red,30.0,30.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.3342,1.3342
9693-9693_game_1,LPL,2023,Bilibili Gaming,JD Gaming,"Gwen,Wukong,Ahri,Zeri,Lulu","Aatrox,Maokai,Akali,Sivir,Yuumi","Bin,Xun,Yagao,Elk,ON","369,Kanavi,Knight,Ruler,MISSING",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.9606,0.9606
9693-9693_game_2,LPL,2023,JD Gaming,Bilibili Gaming,"Kennen,Wukong,Lissandra,Zeri,Lulu","Gnar,Vi,Taliyah,Lucian,Nami","369,Kanavi,Knight,Ruler,MISSING","Bin,Xun,Yagao,Elk,ON",red,30.0,30.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.7014,0.7014
9693-9693_game_3,LPL,2023,JD Gaming,Bilibili Gaming,"Jayce,Sejuani,Syndra,Varus,Heimerdinger","Camille,Wukong,Ahri,Sivir,Ashe","369,Kanavi,Knight,Ruler,MISSING","Bin,Xun,Yagao,Elk,ON",red,30.0,30.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.8977,0.8977
9694-9694_game_1,LPL,2023,LGD Gaming,Rare Atom,"K'Sante,Skarner,Ryze,Zeri,Heimerdinger","Gwen,Viego,Syndra,Varus,Leona","Xiaoxu,Meteor,haichao,Lpc,Jinjiao","Cube,Leyan,Strive,Assum,Southwind",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.503,0.503
9694-9694_game_2,LPL,2023,Rare Atom,LGD Gaming,"Jax,Sejuani,Ryze,Zeri,Lulu","Aatrox,Nidalee,Renekton,Varus,Karma","Cube,Leyan,Strive,Assum,Southwind","Xiaoxu,Meteor,haichao,Lpc,Jinjiao",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.618,0.618
9694-9694_game_3,LPL,2023,LGD Gaming,Rare Atom,"Fiora,Zac,Ryze,Zeri,Heimerdinger","Jax,Vi,Syndra,Varus,Karma","Xiaoxu,Meteor,haichao,Lpc,Jinjiao","Cube,Leyan,Strive,Assum,Southwind",red,30.0,30.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.5743,0.5743
9695-9695_game_1,LPL,2023,Royal Never Give Up,Oh My God,"Renekton,Graves,Galio,Zeri,Yuumi","Aatrox,Vi,Viktor,Lucian,Nami","Breathe,Wei,Tangyuan,GALA,Bunny","shanji,Aki,Creme,Able,Jerry",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.6826,0.6826
9696-9696_game_1,LPL,2023,Ultra Prime,Ninjas in Pyjamas,"K'Sante,Wukong,Syndra,Lucian,Nami","Gwen,Vi,Ryze,Zeri,Yuumi","Hery,Ning,Qing,Doggo,Baolan","Invincible,XLB,Dream,Photic,Zhuo",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.5446,0.5446
9695-9695_game_2,LPL,2023,Royal Never Give Up,Oh My God,"Camille,Viego,Lissandra,Zeri,Yuumi","Gwen,Wukong,Ryze,Lucian,Nami","Breathe,Wei,Tangyuan,GALA,Bunny","shanji,Aki,Creme,Able,Jerry",blue,30.0,30.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0207,1.0207
9696-9696_game_2,LPL,2023,Ultra Prime,Ninjas in Pyjamas,"K'Sante,Wukong,Syndra,Lucian,Nami","Gangplank,Vi,Ryze,Zeri,Yuumi","Hery,Ning,Qing,Doggo,Baolan","Invincible,XLB,Dream,Photic,Zhuo",red,30.0,30.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.8667,0.8667
9697-9697_game_1,LPL,2023,Team WE,EDward Gaming,"Aatrox,Maokai,Syndra,Zeri,Lulu","Fiora,Vi,Azir,Caitlyn,Lux","Biubiu,Heng,Shanks,Hope,Iwandy","Ale,Jiejie,FoFo,Leave,Meiko",red,30.0,30.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.3591,0.3591
9697-9697_game_2,LPL,2023,EDward Gaming,Team WE,"Jayce,Maokai,Akali,Lucian,Nami","Renekton,Vi,Galio,Zeri,Yuumi","Ale,Jiejie,FoFo,Leave,Meiko","Biubiu,Heng,Shanks,Hope,Iwandy",red,30.0,30.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0571,1.0571
