game_id,tournament,blue_team,red_team,blue_picks,red_picks,blue_players,red_players,first_to_five,blue_time,red_time,is_ambiguous,first_to_ten,blue_time10,red_time10,ft10_ambiguous,blue_kills10,red_kills10
ESPORTSTMNT02_3207804,LCS,100 Thieves,Cloud9,"Sion,Wukong,Neeko,Xayah,Rakan","K'Sante,Maokai,Jayce,Zeri,Yuumi","Ssumday,Closer,Quid,Doublelift,Busio","Fudge,Blaber,EMENES,Berserker,Zven",red,,14.497183333333334,0,red,,26.333166666666667,0,0,0
ESPORTSTMNT02_3214865,LCS,Cloud9,Evil Geniuses,"K'Sante,Kindred,Ahri,Ashe,Milio","Renekton,Sejuani,Jayce,Varus,Janna","Fudge,Blaber,EMENES,Berserker,Zven","Revenge,Armao,Jojopyun,UNF0RGIVEN,Eyla",blue,6.6625,,0,blue,9.498566666666667,,0,10,3
ESPORTSTMNT01_3373466,LCS,Cloud9,Golden Guardians,"K'Sante,Kindred,Gragas,Zeri,Milio","Ornn,Jax,Ahri,Lucian,Nami","Fudge,Blaber,EMENES,Berserker,Zven","Licorice,River,Gori,Stixxay,huhi",red,24.49315,24.33065,1,,,,1,0,0
ESPORTSTMNT02_3213623,LCS,Team Liquid,Cloud9,"Ornn,Wukong,LeBlanc,Aphelios,Renata Glasc","Renekton,Vi,Zeri,Xayah,Rakan","Summit,Pyosik,Haeri,Yeon,CoreJJ","Fudge,Blaber,EMENES,Berserker,Zven",blue,16.155266666666666,,0,blue,22.66585,,0,3,1
ESPORTSTMNT02_3209643,LCS,Cloud9,FlyQuest,"Kennen,Nocturne,Neeko,Kai'Sa,Nautilus","Renekton,Vi,Azir,Aphelios,Thresh","Fudge,Blaber,EMENES,Berserker,Zven","Impact,Spica,VicLa,Prince,Vulcan",blue,10.323550000000001,,0,blue,21.156766666666666,,0,4,1
ESPORTSTMNT01_3375039,LCS,Dignitas,Cloud9,"K'Sante,Maokai,Ahri,Jinx,Thresh","Jax,Kha'Zix,Annie,Aphelios,Lulu","Rich,Santorin,Jensen,Tomo,Diamond","Fudge,Blaber,EMENES,Berserker,Zven",blue,10.825866666666666,14.162233333333335,0,red,,17.819166666666668,0,3,2
ESPORTSTMNT02_3210080,LCS,Cloud9,NRG,"Kennen,Vi,Annie,Aphelios,Yuumi","Jayce,Wukong,Azir,Kai'Sa,Rell","Fudge,Blaber,EMENES,Berserker,Zven","Dhokla,Contractz,Palafox,FBI,Ignar",red,22.664816666666663,11.827533333333333,0,red,,23.498283333333333,0,1,3
ESPORTSTMNT02_3215315,LCS,Cloud9,Immortals,"Gnar,Vi,Annie,Kai'Sa,Rell","K'Sante,Viego,Ahri,Aphelios,Alistar","Fudge,Blaber,EMENES,Berserker,Zven","Solo,Kenvi,Bolulu,Tactical,Treatz",blue,14.8305,20.6657,0,blue,19.491566666666664,,0,0,1
ESPORTSTMNT01_3376646,LCS,Cloud9,TSM,"Gragas,Kindred,K'Sante,Aphelios,Milio","Malphite,Wukong,Ahri,Jhin,Karma","Fudge,Blaber,EMENES,Berserker,Zven","Hauntzer,Bugi,Insanity,WildTurtle,Chime",red,19.832783333333335,15.999699999999999,0,blue,27.1662,,0,4,4
ESPORTSTMNT02_3209665,LCS,100 Thieves,Evil Geniuses,"K'Sante,Vi,Azir,Ashe,Braum","Sion,Viego,Ahri,Xayah,Rakan","Ssumday,Closer,Quid,Doublelift,Busio","Revenge,Armao,Jojopyun,UNF0RGIVEN,Eyla",red,,13.8308,0,red,,18.998916666666666,0,1,2
