game_id,date,year,league,blue_team,red_team,blue_win,blue_picks,red_picks,blue_players,red_players
ESPORTSTMNT06_2761091,2023-01-16,2023,LCKC,Hanwha Life Esports Challengers,Gen.G Global Academy,1,"K'Sante,Wukong,Ahri,Zeri,Rakan","Gwen,Vi,Sylas,Aphelios,Lulu","Rooster,Guwon,Roamer,Lure,Duro","Casting,Winner,Quid,Pdx,Lospa"
ESPORTSTMNT06_2761105,2023-01-16,2023,LCKC,HANJIN BRION Challengers,Dplus Kia Challengers,0,"K'Sante,Nocturne,Viktor,Lucian,Nami","Gnar,Elise,Swain,Varus,Ashe","Frim,DDoiV,Ivory,Gamin,Pollu","Thanatos,Lucid,Pullbae,Rahel,Loopy"
ESPORTSTMNT06_2761107,2023-01-16,2023,LCKC,Dplus Kia Challengers,HANJIN BRION Challengers,1,"Gnar,Wukong,Karma,Zeri,Lulu","K'Sante,Vi,Ahri,Varus,Heimerdinger","Thanatos,Lucid,Pullbae,Rahel,Loopy","Frim,DDoiV,Ivory,Gamin,Pollu"
ESPORTSTMNT06_2762079,2023-01-16,2023,LCKC,Nongshim Esports Academy,DRX Challengers,1,"K'Sante,Lee Sin,Syndra,Sivir,Yuumi","Renekton,Maokai,Azir,Zeri,Lulu","Mihile,Sounda,Callme,Jiwoo,Luon","Clear,Sponge,SeTab,Pleata,Piero"
ESPORTSTMNT06_2762099,2023-01-16,2023,LCKC,Hanwha Life Esports Challengers,Gen.G Global Academy,0,"Gnar,Wukong,Syndra,Varus,Karma","K'Sante,Vi,Azir,Jhin,Blitzcrank","Rooster,Guwon,Roamer,Lure,Duro","Zest,Winner,Quid,Pdx,Lospa"
ESPORTSTMNT06_2763076,2023-01-16,2023,LCKC,Nongshim Esports Academy,DRX Challengers,1,"K'Sante,Wukong,Azir,Sivir,Yuumi","Gnar,Sejuani,Kassadin,Zeri,Lulu","Mihile,Sounda,Callme,Jiwoo,Luon","Clear,Sponge,SeTab,Pleata,Piero"
ESPORTSTMNT06_2763092,2023-01-16,2023,LCKC,Gen.G Global Academy,Hanwha Life Esports Challengers,0,"K'Sante,Maokai,Jayce,Jhin,Soraka","Gnar,Sejuani,Swain,Zeri,Heimerdinger","Zest,Winner,Quid,Pdx,Lospa","Rooster,Guwon,Roamer,Lure,Duro"
ESPORTSTMNT06_2761129,2023-01-17,2023,LCKC,KT Rolster Challengers,DN SOOPers Challengers,1,"Renekton,Maokai,Syndra,Varus,Nautilus","K'Sante,Sejuani,Yone,Zeri,Lulu","Castle,HamBak,Feisty,Hype,Kice","IlllIma,Courage,Cleaver,Bull,Andil"
ESPORTSTMNT06_2761131,2023-01-17,2023,LCKC,T1 Esports Academy,Liiv SANDBOX Youth,1,"K'Sante,Viego,Ryze,Lucian,Nami","Camille,Poppy,Azir,Zeri,Yuumi","Dal,Forest,Bay,Smash,Baut","DDahyuk,Vincenzo,Guti,Diable,PlanB"
ESPORTSTMNT06_2762144,2023-01-17,2023,LCKC,Liiv SANDBOX Youth,T1 Esports Academy,0,"Camille,Wukong,Ryze,Zeri,Yuumi","Fiora,Nidalee,Twisted Fate,Caitlyn,Lux","DDahyuk,Vincenzo,Guti,Diable,PlanB","Dal,Forest,Bay,Smash,Baut"
